Sector,Climate And Business Need,Solutions,Market Maturity,Market Maturity Number,Business Model,Type,SeedYN,GrantYN,SeriesX,Total Non-Equity Funding,Total Funding Amount (in USD),Total Equity Funding Amount (in USD),Funding Rank,Series Rank,Seed Rank,Scale Rank
Energy Storage and Distribution,Long Duration Energy Storage (LDES),Compressed Air Energy Storage (CAES) and Liquid Air,Early Market,13,Hardware,Mitigation,4,1,1,36742470,345849924,309107454,7,1,4,3
Energy Storage and Distribution,Long Duration Energy Storage (LDES),CO2 Storage and CO2 Splitting,Early Market,13,Hardware,Mitigation,0,2,2,79249692,198843249,118843557,6,2,1,3
Energy Storage and Distribution,Long Duration Energy Storage (LDES),Hydrogen-based LDES,Commercial,8,Hardware,Mitigation,4,1,1,13825016,69583606,13264303,4,1,4,2
Energy Storage and Distribution,Long Duration Energy Storage (LDES),Gravity and Well-based LDES,Commercial,8,Hardware,Mitigation,2,0,0,1597119,439537530,437940411,8,1,2,3
Energy Storage and Distribution,Long Duration Energy Storage (LDES),Metal-Air and Aqueous Storage,Commercial,8,Hardware,Mitigation,3,2,1,154117461,1075554103,921436642,10,1,3,4
Energy Storage and Distribution,Long Duration Energy Storage (LDES),"Pumped Hydro, Geomechanical, Geothermal Storage",Commercial,8,Hardware,Mitigation,0,1,2,24353896,45727087,21373191,3,2,1,2
Energy Storage and Distribution,Long Duration Energy Storage (LDES),Flow-based and Electrochemical Storage,Early Market,13,Hardware,Mitigation,4,3,4,161295543,1214515610,1053220067,10,4,4,5
Energy Storage and Distribution,Long Duration Energy Storage (LDES),Kinetic Battery Storage,Commercial,8,Hardware,Mitigation,3,1,1,997877,13920436,10422559,2,1,3,1
Energy Storage and Distribution,Long Duration Energy Storage (LDES),Thermal LDES,Early Market,13,Hardware,Mitigation,2,4,9,37582267,297536801,259954534,7,7,2,5
Energy Storage and Distribution,Battery Recycling,Battery Recycling,Early Market,13,Hardware,Mitigation,4,1,6,3339855889,7370582395,4030611777,10,5,4,5
Energy Storage and Distribution,Battery Recycling,Battery Circularity Analytics and Marketplaces,Early Market,13,HW/SW,Mitigation,1,0,1,0,5026651,5026651,1,1,1,1
Energy Storage and Distribution,Battery Recycling,Second Life Battery Storage,Market Scale,21,Hardware,Mitigation,3,3,2,23004366,116730804,77826438,5,2,3,2
Energy Storage and Distribution,Smart Grid and Transmission,Grid Infrastructure Planning and Resiliance,Early Market,13,Software,Hybrid,4,0,4,1056762,84327376,82787999,4,4,4,3
Energy Storage and Distribution,Smart Grid and Transmission,Grid Inspection and Maintenance,Early Market,13,HW/SW,Hybrid,4,0,6,4832607,188517190,183684583,6,5,4,4
Energy Storage and Distribution,Smart Grid and Transmission,"Grid Monitoring, Stability and Management Systems",Early Market,13,Software,Hybrid,2,1,5,9116888,188096658,178224770,6,5,2,4
Energy Storage and Distribution,Smart Grid and Transmission,"Grid Forecasting, Modeling and Trading Optimization",Early Market,13,Software,Mitigation,4,0,3,2705000,61650751,58945751,4,3,4,2
Energy Storage and Distribution,Smart Grid and Transmission,Energy Data and Utility Billing Integration,Market Scale,21,Software,Mitigation,2,0,2,972000,27750449,26778449,2,2,2,1
Energy Storage and Distribution,Smart Grid and Transmission,"Rate Planning, Analytics and Program Design",Early Market,13,Software,Mitigation,1,0,1,0,31029092,31029092,3,1,1,1
Energy Storage and Distribution,Smart Grid and Transmission,"Dynamic Line Ratings (DLR), Power Flow, Grid Edge Control",Market Scale,21,HW/SW,Hybrid,3,1,3,2300000,277692369,275162369,7,3,3,3
Energy Storage and Distribution,Smart Grid and Transmission,Switch Gear,Mature Market,34,Hardware,Hybrid,1,0,4,52893519,452681594,399788075,8,4,1,4
Energy Storage and Distribution,Smart Grid and Transmission,Smart Meters and Behind the Meter Load Analytics,Mature Market,34,HW/SW,Mitigation,0,1,3,3100000,201065744,197965744,6,3,1,3
Energy Storage and Distribution,Smart Grid and Transmission,High Voltage Transmission and Superconductors,Early Market,13,Hardware,Mitigation,0,1,2,3000000,144880679,141880679,5,2,1,2
Energy Storage and Distribution,Smart Grid and Transmission,Smart Transformers,Market Scale,21,HW/SW,Hybrid,3,1,1,25000000,45801570,20801570,3,1,3,1
Energy Storage and Distribution,Smart Grid and Transmission,Advanced Transmission and Reconductoring,Early Market,13,Hardware,Mitigation,1,0,3,0,94579637,94579637,5,3,1,3
Energy Storage and Distribution,Smart Grid and Transmission,Transmission Undergrounding and Subsurface Mapping,Early Market,13,HW/SW,Hybrid,0,0,5,0,308020000,308020000,7,5,1,4
Energy Storage and Distribution,Energy Resources Management,"DER Management (DERMS), Integration and Intelligence ",Market Scale,21,Software,Mitigation,5,2,6,7844361,294283034,286438673,7,5,5,4
Energy Storage and Distribution,Energy Resources Management,DER Device Data Integration,Early Market,13,Software,Mitigation,4,0,5,3070680,134336563,131265883,5,5,4,3
Energy Storage and Distribution,Energy Resources Management,Managed EV Charging and Smart Charging,Early Market,13,Software,Mitigation,0,1,3,41732469,143592389,101859920,5,3,1,3
Energy Storage and Distribution,Energy Resources Management,"Demand Side Flexibility, DR Participation, Optimization",Market Scale,21,Software,Hybrid,6,0,9,159875269,1072689513,912664244,9,7,6,5
Energy Storage and Distribution,Energy Resources Management,Virtual Power Plant (VPP) / Balance Marketplace Mgmt.,Market Scale,21,Software,Hybrid,4,0,5,9880982,229447451,219566469,6,5,4,4
Energy Storage and Distribution,Energy Resources Management,Residential Energy Management,Early Market,13,HW/SW,Mitigation,1,1,3,0,198995176,197848062,6,3,1,3
Energy Storage and Distribution,Mini / Microgrid and Off-Grid,Mini / Microgrid Systems and Controllers,Market Scale,21,HW/SW,Hybrid,5,4,4,234034375,1027883589,793724214,9,4,5,4
Energy Storage and Distribution,Mini / Microgrid and Off-Grid,Microgrid Planning and Management,Early Market,13,Software,Hybrid,2,0,3,102000,34817719,34715719,3,3,2,2
Energy Storage and Distribution,Mini / Microgrid and Off-Grid,Off-Grid Systems,Market Scale,21,Hardware,Hybrid,1,1,6,477579665,1139245054,661565389,10,5,1,5
Mobility,EV Passenger Vehicles,EV Passenger Vehicles and Powertrains,Mature Market,34,HW/SW,Mitigation,3,0,0,2959901180,3763021180,803120000,10,1,3,4
Mobility,Sharing And Subscription Mobility,Carpooling and Peer-to-Peer Carsharing,Market Scale,21,Software,Mitigation,3,1,3,237704809,724453575,486748766,9,3,3,4
Mobility,Sharing And Subscription Mobility,EV Subscription and Sharing,Early Market,13,Software,Mitigation,2,0,7,1141867600,2578893546,1437025946,10,6,2,5
Mobility,Sharing And Subscription Mobility,EV Buying / Selling,Commercial,8,Software,Mitigation,1,0,1,251958,29612391,29360433,2,1,1,1
Mobility,Sharing And Subscription Mobility,Shuttle Bus as a Service / Group Rideshare / Microtransit,Early Market,13,Software,Mitigation,5,0,4,13066830,487634135,474567305,8,4,5,4
Mobility,Sharing And Subscription Mobility,"Bike and Scooter Sharing, Subscription",Mature Market,34,Software,Mitigation,0,0,19,1161865767,6527752778,5365887011,10,7,1,5
Mobility,Sharing And Subscription Mobility,Micro-Mobility Sharing Management Platforms,Early Market,13,Software,Mitigation,2,0,2,0,141919087,141919087,5,2,2,2
Mobility,Micro-Mobility,Electric Bikes,Mature Market,34,Hardware,Mitigation,3,0,4,320365,536566327,536245962,8,4,3,4
Mobility,Micro-Mobility,Electric Scooters and Mopeds,Mature Market,34,Hardware,Mitigation,0,0,4,788716493,3121194700,2332478207,10,4,1,5
Mobility,Micro-Mobility,Last Mile Electric Mobility and Delivery Platforms,Market Scale,21,Hardware,Mitigation,1,0,5,8121262,95743221,87621959,5,5,1,3
Mobility,Micro-Mobility,Electric 3-Wheel Vehicles and Cargo Bikes,Mature Market,34,Hardware,Mitigation,1,0,1,2816034,81413704,78597670,4,1,1,2
Mobility,Micro-Mobility,Electric Motorcycles and ORV,Market Scale,21,Hardware,Mitigation,5,0,2,133109510,312435099,179325589,7,2,5,3
Mobility,Trucks,"Light, Medium and Class 5-8 EV Trucks",Market Scale,21,Hardware,Mitigation,2,1,6,4017219823,16034123227,12016903404,10,5,2,5
Mobility,Trucks,"EV, Biofuel and H2 Truck and Bus Retrofit",Early Market,13,Hardware,Mitigation,2,1,7,23061108,140669009,117607901,5,6,2,4
Mobility,Trucks,Truck Efficiency and Aerodynamics Retrofit,Market Scale,21,Hardware,Mitigation,0,0,3,4364712,102592343,98227631,5,3,1,3
Mobility,Trucks,EV Delivery Vehicles,Early Market,13,Hardware,Mitigation,1,0,3,56515822,810560230,754044408,9,3,1,4
Mobility,Trucks,Electric Recreational Vehicles (RV),Early Market,13,Hardware,Mitigation,0,0,2,0,74814778,74814778,4,2,1,2
Mobility,Vehicle Digitization and Autonomy,Autonomous Trucks,Early Market,13,Hardware,Mitigation,1,0,7,462022197,2065677586,1603655389,10,6,1,5
Mobility,Vehicle Digitization and Autonomy,Autonomous Cars / Taxis,Commercial,8,Hardware,Mitigation,0,0,2,0,1294298451,1294298451,10,2,1,4
Mobility,Vehicle Digitization and Autonomy,"Vehicle Digitization, Autonomous Driving, Telematics",Market Scale,21,HW/SW,Mitigation,3,1,9,213290297,1073043196,857139980,10,7,3,5
Mobility,Heavy Vehicles,"Municipal EV: Fire, Ambulance, Garbage Trucks",Early Market,13,Hardware,Mitigation,0,0,2,0,270000000,270000000,7,2,1,3
Mobility,Heavy Vehicles,"Cargo EV, incl. Semi Haulers",Early Market,13,Hardware,Mitigation,0,2,2,50250000,1074151298,1020901298,10,2,1,4
Mobility,Heavy Vehicles,Off-Highway Vehicles,Market Scale,21,Hardware,Mitigation,1,1,0,250000,8750000,8500000,1,1,1,1
Mobility,Heavy Vehicles,Hydrogen Powered Vehicles,Market Scale,21,Hardware,Mitigation,2,1,3,5585290,65394279,39663022,4,3,2,2
Mobility,Fleet Electrification,EV Fleet and Commercial Charging Systems,Market Scale,21,HW/SW,Mitigation,1,1,6,126251411,1791020673,1664769262,10,5,1,5
Mobility,Fleet Electrification,EV Fleet Management and Optimization Systems,Market Scale,21,Software,Mitigation,7,1,2,21956331,376838625,354882294,8,2,6,3
Mobility,Fleet Electrification,EV Charger Site Assessment and Fleet Planning,Early Market,13,Software,Mitigation,7,1,4,25000000,89602901,64572535,5,4,6,3
Mobility,Charging Networks And Management,EV Charging Networks and Hardware,Market Scale,21,HW/SW,Mitigation,5,4,8,764842811,2784292370,1843610671,10,7,5,5
Mobility,Charging Networks And Management,Curbside EV Charging,Early Market,13,HW/SW,Mitigation,2,1,2,4599477,235229350,230629873,7,2,2,3
Mobility,Charging Networks And Management,Residential EV Chargers,Market Scale,21,HW/SW,Mitigation,1,0,2,6796167,30235844,23439677,3,2,1,2
Mobility,Charging Networks And Management,EV Charging for Real Estate / Rental and Condo,Early Market,13,HW/SW,Mitigation,1,0,2,14437911,114575447,100137536,5,2,1,2
Mobility,Charging Networks And Management,EV Charging Management Platforms,Early Market,13,Software,Mitigation,6,2,8,8212630,336393967,328181337,7,7,6,5
Mobility,Charging Networks And Management,Vehicle to Grid (V2G) and Bidirectional Charging,Early Market,13,HW/SW,Hybrid,1,1,4,40850000,199771065,158921065,6,4,1,3
Mobility,Charging Networks And Management,"Charger Installation, Operations and Maintenance",Early Market,13,Service,Mitigation,0,0,2,0,99025000,99025000,5,2,1,2
Mobility,Charging Networks And Management,Wireless and Road Charging,Early Market,13,Hardware,Mitigation,2,0,2,312140,63510349,63198209,4,2,2,2
Mobility,Charging Networks And Management,Robotic EV Chargers,Commercial,8,HW/SW,Mitigation,1,1,2,33000000,345270816,312270816,7,2,1,3
Mobility,Charging Networks And Management,Micro-mobility Charging,Early Market,13,HW/SW,Mitigation,3,1,3,48899251,540051027,491151776,9,3,3,4
Mobility,Public Transit,EV Buses,Mature Market,34,Hardware,Mitigation,1,0,2,18997855,58497855,39500000,4,2,1,2
Mobility,Public Transit,Electric School Buses,Market Scale,21,Hardware,Mitigation,0,1,1,58579482,520479476,344999994,8,1,1,3
Mobility,Public Transit,"Transit Planning, Management and Fare Collection",Market Scale,21,Software,Hybrid,1,1,9,24532436,618422970,593890534,9,7,1,5
Mobility,Public Transit,Mode-Shifting Behavior Change,Market Scale,21,Software,Hybrid,2,0,1,13500000,205691252,192191252,6,1,2,2
Mobility,Public Transit,Traffic and Curb Management and Analytics,Early Market,13,HW/SW,Hybrid,3,1,7,152195815,630102248,477386433,9,6,3,5
Mobility,Public Transit,"Tolling, Road Usage and Congestion Pricing",Early Market,13,HW/SW,Hybrid,1,0,2,0,16450000,16450000,2,2,1,1
Mobility,Public Transit,Controlled Route Autonomous Transit,Commercial,8,HW/SW,Mitigation,0,0,3,1812785,247290424,245477639,7,3,1,3
Mobility,Aviation,Electric / Hybrid Airplanes and Propulsion,Commercial,8,Hardware,Mitigation,4,3,7,181988962,1385261750,1203272788,10,6,4,5
Mobility,Aviation,eVTOL Aircraft,Early Market,13,Hardware,Mitigation,2,1,3,81868,2335166498,2335084630,10,3,2,4
Mobility,Aviation,Hydrogen / Hybrid Aircraft,Commercial,8,Hardware,Mitigation,1,1,2,20250000,371400000,351150000,8,2,1,3
Mobility,Aviation,Hypersonic and Supersonic Aircraft,Pilot,3,Hardware,Mitigation,1,1,2,149155920,441647204,292491284,8,2,1,3
Mobility,Aviation,Airships,Pilot,3,Hardware,Mitigation,2,0,3,2585791,205459700,202873909,6,3,2,3
Mobility,Aviation,Electric Ground Support and Battery Charging for Aircraft,Early Market,13,Hardware,Mitigation,1,0,1,52287901,96344542,44056641,5,1,1,2
Mobility,Aviation,Autonomous Cargo Aircraft,Pilot,3,Software,Mitigation,0,0,4,0,340507537,340507537,7,4,1,4
Mobility,Aviation,Coastal Aircraft,Early Market,13,Hardware,Mitigation,1,0,0,0,87000000,87000000,5,1,1,2
Mobility,Aviation,Drone Delivery,Early Market,13,Software,Mitigation,2,2,4,63384125,355956284,292572159,8,4,2,4
Mobility,Aviation,"Aviation Efficiency, Emissions Control and Contrail Reduction",Early Market,13,Software,Mitigation,5,2,0,3894388,23292369,19365825,2,1,5,1
Mobility,Trains,High Speed Rail,Market Scale,21,Hardware,Mitigation,0,1,0,0,291648000,75000000,7,1,1,3
Mobility,Trains,Hyperloop,Pilot,3,Hardware,Mitigation,2,2,3,12719435,120598683,107879248,5,3,2,3
Mobility,Trains,Locomotive Electrification,Mature Market,34,Hardware,Mitigation,0,0,2,250000,66337913,66087913,4,2,1,2
Mobility,Trains,"Rail Efficiency, Monitoring and Automation",Market Scale,21,HW/SW,Mitigation,5,0,6,224538,165738574,165334036,6,5,5,4
Mobility,Ships,Electric and Hydrogen Ships and Ferries,Early Market,13,Hardware,Mitigation,3,0,2,0,36728056,36728056,3,2,3,2
Mobility,Ships,Cargo Ship Sails,Commercial,8,Hardware,Mitigation,1,0,1,1664983,50782200,49117217,4,1,1,2
Mobility,Ships,Autonomous Ships and Robotics,Commercial,8,HW/SW,Mitigation,3,1,2,1050000,63066300,62016300,4,2,3,2
Mobility,Ships,Ocean Freight Efficiency and Optimization,Early Market,13,Software,Mitigation,3,0,4,242500,164126020,163883520,6,4,3,3
Mobility,Ships,Electric Recreational Watercraft and Yachts,Early Market,13,Hardware,Mitigation,0,0,6,8074946,519845740,511770794,8,5,1,4
Industry,Plastics,Plant-based Plastics / Biopolymers and Bioplastics,Market Scale,21,Hardware,Mitigation,10,4,11,28023691,183146884,153096372,6,7,6,4
Industry,Plastics,Algae-Based Bioplastics and Soluble / Edible Packaging,Early Market,13,Hardware,Mitigation,5,1,2,5305644,73348510,67867866,4,2,5,2
Industry,Plastics,Advanced Plastic Recycling and Pyrolysis,Market Scale,21,Hardware,Mitigation,2,1,6,519075736,1640918367,721842631,10,5,2,5
Industry,Plastics,Plastic / Polymer and Tire Upcycling,Early Market,13,Hardware,Mitigation,1,1,6,33110679,397941272,364830593,8,5,1,4
Industry,Plastics,"Plastic Depolymerization via Enzymatic, Myco, Green Chemistry ",Early Market,13,Hardware,Mitigation,5,3,2,6863139,102653929,93553466,5,2,5,2
Industry,Chemicals,Synbio and Catalytic Chemicals,Market Scale,21,Hardware,Mitigation,3,1,5,217712363,962486140,744773777,9,5,3,5
Industry,Chemicals,Precision Fermentation for Chemical Production,Early Market,13,Hardware,Mitigation,4,0,2,376158883,487327450,111168567,8,2,4,3
Industry,Chemicals,Biomass-based Green Chemicals,Early Market,13,Hardware,Mitigation,3,2,4,8401037,293410474,284898980,7,4,3,4
Industry,Chemicals,CO2 to Chemicals via Electrocatalysis and Electrolysis,Early Market,13,Hardware,Hybrid,4,2,3,16172149,109931357,93259208,5,3,4,3
Industry,Chemicals,Photocatalytic and Low Temp Plasma (LTP) Chemistry,Early Market,13,Hardware,Mitigation,2,2,1,1666435,120747434,107800000,5,1,2,2
Industry,Chemicals,"Adhesives, Lubricants, Solvents and Sealants",Early Market,13,Hardware,Mitigation,3,1,2,2686472,33133676,27947205,3,2,3,2
Industry,Chemicals,"Green Chemistry Ingredients for Cleaning, Beauty, Personal Care",Early Market,13,Hardware,Mitigation,3,4,11,122764550,297614271,150719660,7,7,3,5
Industry,Steel and Industrial Metals,Electrochemical Low-Temperature Iron (LTI) and Electrolysis,Commercial,8,Hardware,Mitigation,1,0,2,3201034,461357769,458156735,8,2,1,3
